nome,user_id,ativo,filial_codigo
,user_3Cz3lPQrL8YeeFXDNqU0hWeQCZ9,S,SCS-CL
,user_2uAWoE8GCxDBG07Mt4Lx6YM2Twl,S,SCS-CL
,user_30bQsgdI1RjllHEgN6pNVjdGy1U,S,SCS
,user_2toYMzgX9hFOK4bve0pynTbotm3,S,
,user_2uAqcxx23Vf5735DR63DPbGPLTt,S,SCS
,user_3C1jWsHRwfNq9YKTyXIC2xHEpOV,S,LGS
,user_2tntEtuGtr4M3qrtHCP1ZMNhe9n,S,SCS
,user_2uUeTwjgS4DhYWgrnXtUbqnQWvU,S,SCS
,user_2u8oOPam4iL7ycIpJeEgeyEQesy,S,SCS
,user_2uAW69BDJY8xzKlySUVk87fdPTR,N,
,user_2wh0Rn6yT1DwJIkYoCGPIPt6ee5,S,SCS
,user_2wh7q1EaM7fOG8yHCEv6XMWEJYe,S,SCS
,user_2wrRw19uIND9UBuouFp5OBf0Pel,S,SCS
,user_2wpHGKNhPuJ8f6szcEMTNkCieca,N,
,user_2uE7vaN5iaWIwmvrsJ1S1gt2NXt,S,SCS
,user_2xNo3US4KsRGe4FfIbBwnpq44fZ,N,
,user_2tnqG75Hq7FFl3GUqtJ0qMbUBlf,S,SCS
,user_2vGGYxthSBYKg8h1S2UJUURI256,N,
,user_2y8Jpvs6q4BMCr1GhfaDCOc54gA,S,SCS
,user_2woXklbjYXj0ILcAGdXbYHH01Qd,N,
,user_2x3UnaK8uqWGZLzhuEFgPPqMOA4,S,SCS
,user_2y9EUw2BwNRWC6CEXskZOQLnOmb,S,SCS
,user_2zYWBZD1QGq13KmShoZH3MciiqS,N,
,user_30bjxXwPMTJprQriZZXUSEe0HCQ,S,SCS-CL
,user_30bzHPFikqd7pY0MgNekZxgiysL,S,SCS
,user_2xoWbDMaiKpAqjMhOTup4PUIyUh,S,SCS
,user_32F5Vc1aoM3AMWLFOmpMUJpQgPw,N,
,user_30bLoA2pgflEkZTfh9bvTxcUkGD,N,
,user_30Z76Aw0epYWSGA2hCG3HgKOh6p,S,SCS
,user_30VJch9QmbGxVQQYldg3JV1N2uL,S,SCS
,user_2um0hBhta1aEswfQrU2q4IHmio4,S,SCS
,user_2wgxGqk0EObb6JzPaMgWdVHcPTt,S,SCS
,user_30bk3QlrYct5EmZdg1czhmzE2f9,S,SCS-CL
,user_32WCSFTTkg1Pkizw0Rqc381hIxs,S,SCS
,user_30bQ08sicvtjzI4jXq03ZbyO3UK,S,SCS
,user_30gKtuRFsrFVG3GKHP8pNDyJJzy,S,SCS
,user_2ud5npwWDQtKJjS6LQwarUd08hL,N,
,user_30egUChbYdYSKdFkSlupQxw68y1,S,VA
,user_32W8fu9e8ZqXQClMZgdopqXlOYZ,N,
,user_2zE60njNYOZhCkPLBFTvp4xtPmn,S,SCS
,user_32CWfjGyBJzHuN2b9o44KZDLnE2,S,SCS-CL
,user_2u8gdAj70kr0FqT1fQ7x1baFHxk,S,SCS
,user_2wiksZg7iImi7xrmYDfw9Z14ZGH,S,SCS
,user_31BWoqtpnMoDm53Ui6ldHOhAsqk,S,SCS
,user_30elgznUimegJdOPxd6fTN8PP80,S,SCS
,user_3Cz5frKuSzswWW4rkEifCbvoAkB,S,SCS
,user_2udl5lKfdF7XoDSwx6aIofBoXCr,N,
,user_2xpZgK0kF75w3YuQ6uywGzYHPRE,S,VA
,user_30bK2iXzIU0I94NnOEOgpd4lgsq,S,SCS
,user_30bKNvj06J5W3De2V7ehLQzusXz,S,VA
,user_30bNTkV1huFhJ4czocIzMgJIYRi,N,
,user_30bS7cZY2rZjbzD63orjXyiYbTl,S,SCS
,user_30bSC9GjXi7DQHY9NEewoA6Cfhv,S,SCS
,user_2wgByALebYLoog3Z5ppD9mVD4vB,S,SCS
,user_2uRWbx9rhp00EjbBJPakW1WaAgC,N,
,user_30bLdpo4lE8p6IMIpk5Knv1JV2c,N,
,user_2wSZWiCWTHb2g479xbrOHhgyYHe,S,SCS
,user_2wgvToSizitVJiBFo8TerRZsxFg,S,SCS
,user_30bGdmgogiAfZnciCeXFCTExPch,S,SCS
,user_30bJotSPr8qeAx7wwYOYiIXlLTb,S,SCS
,user_30bMrgvEOgPtOXkxF3H2J6vASYz,S,SCS
,user_30bPm3cMLqkIB9hwt7HX9jxDFMV,S,SCS-CL
,user_30bQDE4r4pR15l1DQoTNEZXVLrT,N,
,user_31unoD8Q8FQwt5Yg2j4tiH7DwA6,S,SCS
,system-user-001,S,SCS
,user_2uAWwRaM5o9nCym1zHVYdJUehFR,S,SCS
,user_30fCXr2tByHrPPFCqgv3MrmZt7e,S,SCS
,user_2u8szVeknN4iOZoQdNMhccFrU6y,S,SCS
,user_2uAVow5hKlW5oTkhc2kgqad8Fyn,S,SCS-CL
,user_2ud4b9FYXo19kFQiSgQfPF1pfwV,S,SCS
,user_2vrMBc5qfk25hDU34NV9QG8yobz,S,SCS
,user_2wgwpZMvmLy8xqYcxvG8RL3bHyi,N,
,user_2wh36ebLbcSCE756SsCmMUdwBid,S,SCS
,user_2wmqEk7m2INiV4mJlnrNGhL2LJH,N,
,user_2woB4UdN4Bnx2rP8rKe1NgRkMTz,S,SCS
,user_30JswswtDxNqlvwDg7PLSlNfEiQ,S,SCS
,user_2uAVmmFRVMIAdslNZIKTq1cEU9m,N,
,user_2wh8tpG9QLzgLdxM6uwd8O2tmIV,N,
,user_2uDKmewv8nVU8Zt3NxYkDKJdQ9W,S,SCS
,user_2wg9r6eMXmrkzjTsesaWR7oEfI9,S,SCS
,user_2vOgEer8s8POI9DoxUkZYpjl53B,S,SCS
,user_2ud3z1bOZ0uKqQFctJluqXzSk9t,S,SCS
,user_2wmtfGzeeqppPEfdSxa3dR4UGrZ,S,CAC
,user_2whZGxMxhclpmzwpzvNx5RoGnTl,S,SCS-CL
,user_2wioPWvqEJMj9xokdob8jkG6Tof,N,
,user_2wjdMs24pC2BD1k7nevdJv545is,S,SCS
,user_2wmq6ufs65khEYmOatKGdOCl1e7,S,CAC
,user_2wmn91cTbFSCJT2oSVPRUnf5Vhi,S,SCS
,user_2wn44SPgr6MTQP6WjOGb8jOzsqI,S,CAC
,user_2wlx06UZYu1LC8pYYSqmeAIWS4B,S,SCS
